model,size,json_validity_rate,tool_identification_accuracy,parameter_precision,parameter_recall,parameter_f1,adjacency_extraction_f1,task_success_rate,maximum_flow,dfs,connectivity,bfs,shortest_path,mst,cycle,topological_sort
Mistral-7B-Instruct-v0.3,medium,0.31,0.31,0.192,0.34600000000000003,0.247,0.012,0.071,0.0,0.08333333333333331,0.08333333333333331,0.08333333333333331,0.16666666666666663,0.08333333333333331,0.0,
Mistral-7B-Instruct-v0.3,small,0.47600000000000003,0.47600000000000003,0.25,0.5,0.33299999999999996,0.0,0.071,0.0,0.0,0.08333333333333331,0.16666666666666663,0.0,0.08333333333333331,0.16666666666666663,
Mistral-7B-Instruct-v0.3,large,0.16699999999999998,0.16699999999999998,0.071,0.071,0.071,0.0,0.012,0.0,0.0,0.0,0.0,0.08333333333333331,0.0,0.0,
Mistral-7B-Instruct-v0.3,mini,0.73,0.73,0.231,0.523,0.32,0.0,0.191,0.0,0.25,0.0,0.33333333333333326,0.41666666666666674,0.08333333333333331,0.33333333333333326,0.0
Llama3-8B-Instruct,large,0.27399999999999997,0.27399999999999997,0.522,0.7829999999999999,0.626,0.0,0.23800000000000002,0.16666666666666663,0.08333333333333331,0.33333333333333326,0.16666666666666663,0.0,0.08333333333333331,0.8333333333333335,
Llama3-8B-Instruct,medium,0.512,0.512,0.395,0.6509999999999999,0.49200000000000005,0.0,0.47600000000000003,0.25,0.16666666666666663,0.9166666666666665,0.25,0.5,0.41666666666666674,0.8333333333333335,
Llama3-8B-Instruct,mini,0.787,0.787,0.40700000000000003,0.579,0.478,0.0,0.618,0.33333333333333326,0.6666666666666665,0.6666666666666665,0.33333333333333326,0.8333333333333335,0.6666666666666665,0.8333333333333335,0.6
Llama3-8B-Instruct,small,0.9640000000000001,0.9640000000000001,0.358,0.506,0.419,0.0,0.8690000000000001,0.75,1.0,0.9166666666666665,0.8333333333333335,0.75,0.9166666666666665,0.9166666666666665,
Qwen2.5-7B-Instruct,medium,0.9640000000000001,0.9640000000000001,0.40700000000000003,0.531,0.461,0.076,0.7140000000000001,0.0,0.6666666666666665,0.9166666666666665,0.8333333333333335,0.6666666666666665,1.0,0.9166666666666665,
Qwen2.5-7B-Instruct,large,0.833,0.833,0.493,0.564,0.526,0.039,0.44,0.0,0.16666666666666663,0.8333333333333335,0.33333333333333326,0.16666666666666663,0.6666666666666665,0.9166666666666665,
Qwen2.5-7B-Instruct,small,0.976,0.976,0.28,0.512,0.36200000000000004,0.096,0.75,0.0,0.8333333333333335,0.9166666666666665,0.9166666666666665,0.5833333333333334,1.0,1.0,
Qwen2.5-7B-Instruct,mini,0.955,0.955,0.45899999999999996,0.5529999999999999,0.502,0.133,0.6629999999999999,0.0,0.5833333333333334,0.6666666666666665,0.75,0.6666666666666665,1.0,1.0,0.6
Llama3-70B-Instruct,small,1.0,1.0,0.35700000000000004,0.5,0.41700000000000004,1.0,0.905,0.75,1.0,0.9166666666666665,1.0,0.6666666666666665,1.0,1.0,
Llama3-70B-Instruct,mini,1.0,1.0,0.39299999999999996,0.528,0.451,0.0,0.831,0.8333333333333335,1.0,0.6666666666666665,0.75,0.5833333333333334,1.0,0.9166666666666665,1.0
Llama3-70B-Instruct,medium,1.0,1.0,0.35700000000000004,0.5,0.41700000000000004,0.997,0.845,0.33333333333333326,1.0,1.0,1.0,0.5833333333333334,1.0,1.0,
Llama3-70B-Instruct,large,0.857,0.857,0.33299999999999996,0.47200000000000003,0.391,1.0,0.69,0.33333333333333326,0.8333333333333335,0.6666666666666665,0.9166666666666665,0.5,0.75,0.8333333333333335,
Ours,large,1.0,1.0,1.0,1.0,1.0,1.0,0.976,1.0,1.0,0.8333333333333335,1.0,1.0,1.0,1.0,
Ours,medium,1.0,1.0,1.0,1.0,1.0,0.9990000000000001,0.9640000000000001,0.9166666666666665,1.0,1.0,1.0,0.8333333333333335,1.0,1.0,
Ours,small,1.0,1.0,1.0,0.976,0.988,1.0,0.9520000000000001,1.0,0.8333333333333335,0.9166666666666665,1.0,1.0,1.0,0.9166666666666665,
Ours,mini,1.0,1.0,1.0,0.9440000000000001,0.971,0.9990000000000001,0.8540000000000001,1.0,0.5833333333333334,0.6666666666666665,0.9166666666666665,0.8333333333333335,1.0,0.9166666666666665,1.0
